Thread-1:2020-12-01 16:19:18,006:INFO:Task 0_M0 arrived on worker 2
Thread-2:2020-12-01 16:19:19,048:INFO:Task 0_M0 ran for 1 on worker 2
Thread-2:2020-12-01 16:19:19,049:DEBUG:Task 0_M0 completed on worker 2.Status sent to master.
Thread-1:2020-12-01 16:19:19,065:INFO:Task 0_R0 arrived on worker 2
Thread-2:2020-12-01 16:19:21,051:INFO:Task 0_R0 ran for 1 on worker 2
Thread-2:2020-12-01 16:19:21,051:DEBUG:Task 0_R0 completed on worker 2.Status sent to master.
Thread-1:2020-12-01 16:19:22,058:INFO:Task 1_M0 arrived on worker 2
Thread-1:2020-12-01 16:19:22,058:INFO:Task 1_M1 arrived on worker 2
Thread-1:2020-12-01 16:19:22,059:INFO:Task 2_M0 arrived on worker 1
Thread-1:2020-12-01 16:19:22,059:INFO:Task 2_M1 arrived on worker 2
Thread-1:2020-12-01 16:19:22,279:INFO:Task 3_M0 arrived on worker 1
Thread-1:2020-12-01 16:19:22,279:INFO:Task 3_M1 arrived on worker 2
Thread-1:2020-12-01 16:19:22,279:INFO:Task 3_M2 arrived on worker 1
Thread-1:2020-12-01 16:19:22,279:INFO:Task 3_M3 arrived on worker 2
Thread-2:2020-12-01 16:19:23,579:INFO:Task 2_M0 ran for 1 on worker 1
Thread-2:2020-12-01 16:19:23,579:DEBUG:Task 2_M0 completed on worker 1.Status sent to master.
Thread-2:2020-12-01 16:19:23,579:INFO:Task 3_M0 ran for 1 on worker 1
Thread-2:2020-12-01 16:19:23,579:DEBUG:Task 3_M0 completed on worker 1.Status sent to master.
Thread-2:2020-12-01 16:19:24,054:INFO:Task 3_M3 ran for 1 on worker 2
Thread-2:2020-12-01 16:19:24,054:DEBUG:Task 3_M3 completed on worker 2.Status sent to master.
Thread-2:2020-12-01 16:19:24,580:INFO:Task 3_M2 ran for 2 on worker 1
Thread-2:2020-12-01 16:19:24,581:DEBUG:Task 3_M2 completed on worker 1.Status sent to master.
Thread-2:2020-12-01 16:19:25,055:INFO:Task 1_M1 ran for 2 on worker 2
Thread-2:2020-12-01 16:19:25,055:DEBUG:Task 1_M1 completed on worker 2.Status sent to master.
Thread-2:2020-12-01 16:19:25,055:INFO:Task 2_M1 ran for 2 on worker 2
Thread-2:2020-12-01 16:19:25,056:DEBUG:Task 2_M1 completed on worker 2.Status sent to master.
Thread-2:2020-12-01 16:19:25,056:INFO:Task 3_M1 ran for 2 on worker 2
Thread-2:2020-12-01 16:19:25,056:DEBUG:Task 3_M1 completed on worker 2.Status sent to master.
Thread-1:2020-12-01 16:19:25,107:INFO:Task 2_R0 arrived on worker 1
Thread-1:2020-12-01 16:19:25,113:INFO:Task 3_R0 arrived on worker 2
Thread-2:2020-12-01 16:19:26,057:INFO:Task 1_M0 ran for 3 on worker 2
Thread-2:2020-12-01 16:19:26,057:DEBUG:Task 1_M0 completed on worker 2.Status sent to master.
Thread-1:2020-12-01 16:19:26,057:INFO:Task 3_R1 arrived on worker 2
Thread-1:2020-12-01 16:19:26,102:INFO:Task 1_R0 arrived on worker 2
Thread-1:2020-12-01 16:19:26,102:INFO:Task 1_R1 arrived on worker 1
Thread-2:2020-12-01 16:19:26,583:INFO:Task 2_R0 ran for 1 on worker 1
Thread-2:2020-12-01 16:19:26,583:DEBUG:Task 2_R0 completed on worker 1.Status sent to master.
Thread-2:2020-12-01 16:19:28,059:INFO:Task 3_R0 ran for 2 on worker 2
Thread-2:2020-12-01 16:19:28,059:DEBUG:Task 3_R0 completed on worker 2.Status sent to master.
Thread-1:2020-12-01 16:19:28,173:INFO:Task 4_M0 arrived on worker 2
Thread-1:2020-12-01 16:19:28,173:INFO:Task 4_M1 arrived on worker 1
Thread-2:2020-12-01 16:19:29,061:INFO:Task 3_R1 ran for 3 on worker 2
Thread-2:2020-12-01 16:19:29,061:DEBUG:Task 3_R1 completed on worker 2.Status sent to master.
Thread-2:2020-12-01 16:19:29,586:INFO:Task 1_R1 ran for 3 on worker 1
Thread-2:2020-12-01 16:19:29,586:DEBUG:Task 1_R1 completed on worker 1.Status sent to master.
Thread-1:2020-12-01 16:19:29,587:INFO:Task 5_M1 arrived on worker 1
Thread-2:2020-12-01 16:19:31,064:INFO:Task 1_R0 ran for 4 on worker 2
Thread-2:2020-12-01 16:19:31,064:DEBUG:Task 1_R0 completed on worker 2.Status sent to master.
Thread-1:2020-12-01 16:19:31,064:INFO:Task 4_M2 arrived on worker 2
Thread-1:2020-12-01 16:19:31,064:INFO:Task 5_M0 arrived on worker 2
Thread-2:2020-12-01 16:19:31,589:INFO:Task 5_M1 ran for 2 on worker 1
Thread-2:2020-12-01 16:19:31,589:DEBUG:Task 5_M1 completed on worker 1.Status sent to master.
Thread-1:2020-12-01 16:19:32,619:INFO:Task 6_M0 arrived on worker 2
Thread-1:2020-12-01 16:19:32,619:INFO:Task 7_M0 arrived on worker 1
Thread-1:2020-12-01 16:19:32,619:INFO:Task 7_M1 arrived on worker 3
Thread-1:2020-12-01 16:19:32,742:INFO:Task 9_M0 arrived on worker 3
Thread-2:2020-12-01 16:19:33,066:INFO:Task 4_M0 ran for 4 on worker 2
